State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
CALIFORNIA,CONCORD,2018,130855,246.0,1.0,27.0,103.0,115.0,2151.0,261.0,1611.0,279.0,12.0
CALIFORNIA,DALY CITY,2019,107928,122.0,0.0,26.0,47.0,49.0,897.0,88.0,714.0,95.0,7.0
CALIFORNIA,CHULA VISTA,2019,274370,396.0,2.0,21.0,122.0,251.0,1847.0,228.0,1226.0,393.0,16.0
CALIFORNIA,DOWNEY,2019,113277,177.0,3.0,15.0,77.0,82.0,1344.0,166.0,888.0,290.0,2.0
CALIFORNIA,EL CAJON,2019,104497,273.0,2.0,18.0,94.0,159.0,1120.0,206.0,750.0,164.0,8.0
CALIFORNIA,EL MONTE,2018,116464,181.0,2.0,12.0,78.0,89.0,1216.0,257.0,677.0,282.0,10.0
CALIFORNIA,EL MONTE,2019,116464,138.0,1.0,15.0,63.0,59.0,910.0,183.0,497.0,230.0,2.0
CALIFORNIA,ESCONDIDO,2018,153073,237.0,1.0,28.0,71.0,137.0,1370.0,187.0,933.0,250.0,5.0
CALIFORNIA,DOWNEY,2018,113277,174.0,3.0,7.0,83.0,81.0,1353.0,243.0,785.0,325.0,8.0
CALIFORNIA,ELK GROVE,2019,174651,172.0,0.0,18.0,62.0,92.0,1221.0,144.0,989.0,88.0,4.0
CALIFORNIA,EL CAJON,2018,104497,246.0,2.0,20.0,86.0,138.0,1164.0,166.0,827.0,171.0,9.0
CALIFORNIA,SAN MATEO,2018,105839,136.0,0.0,6.0,40.0,90.0,1076.0,346.0,618.0,112.0,3.0
CALIFORNIA,LANCASTER,2018,160818,586.0,4.0,49.0,142.0,391.0,1855.0,512.0,981.0,362.0,14.0
CALIFORNIA,INGLEWOOD,2019,110726,352.0,1.0,30.0,189.0,132.0,1143.0,160.0,667.0,316.0,4.0
CALIFORNIA,FULLERTON,2018,141132,174.0,0.0,27.0,66.0,81.0,1878.0,176.0,1460.0,242.0,8.0
CALIFORNIA,HAYWARD,2018,162881,330.0,0.0,55.0,170.0,105.0,2434.0,262.0,1468.0,704.0,9.0
CALIFORNIA,GLENDALE,2019,204724,111.0,4.0,9.0,44.0,54.0,1682.0,248.0,1298.0,136.0,8.0
CALIFORNIA,GLENDALE,2018,204724,83.0,0.0,16.0,24.0,43.0,1491.0,188.0,1156.0,147.0,5.0
CALIFORNIA,GARDEN GROVE,2019,174661,241.0,1.0,24.0,86.0,130.0,1918.0,298.0,1386.0,234.0,7.0
CALIFORNIA,GARDEN GROVE,2018,174661,266.0,2.0,28.0,90.0,146.0,2096.0,329.0,1438.0,329.0,6.0
CALIFORNIA,FULLERTON,2019,141132,150.0,1.0,38.0,44.0,67.0,1607.0,120.0,1301.0,186.0,11.0
CALIFORNIA,FREMONT,2018,238024,274.0,1.0,32.0,115.0,126.0,2387.0,404.0,1620.0,363.0,6.0
CALIFORNIA,FRESNO,2019,531818,1394.0,23.0,74.0,378.0,919.0,8898.0,1478.0,6234.0,1186.0,52.0
CALIFORNIA,FRESNO,2018,531818,1489.0,18.0,93.0,473.0,905.0,8628.0,1411.0,6126.0,1091.0,129.0
CALIFORNIA,FREMONT,2019,238024,198.0,1.0,13.0,82.0,102.0,2310.0,258.0,1751.0,301.0,5.0
CALIFORNIA,HUNTINGTON BEACH,2018,203428,218.0,0.0,41.0,59.0,118.0,1871.0,227.0,1485.0,159.0,9.0
CALIFORNIA,FONTANA,2019,213964,337.0,4.0,38.0,90.0,205.0,1559.0,262.0,914.0,383.0,4.0
CALIFORNIA,FONTANA,2018,213964,331.0,5.0,27.0,94.0,205.0,1683.0,289.0,928.0,466.0,5.0
CALIFORNIA,ESCONDIDO,2019,153073,260.0,3.0,22.0,70.0,165.0,1201.0,184.0,806.0,211.0,3.0
CALIFORNIA,FAIRFIELD,2019,117883,222.0,2.0,27.0,72.0,121.0,1821.0,175.0,1374.0,272.0,11.0
CALIFORNIA,HAYWARD,2019,162881,265.0,2.0,28.0,128.0,107.0,2385.0,237.0,1528.0,620.0,16.0
CALIFORNIA,IRVINE,2019,288052,87.0,0.0,25.0,32.0,30.0,1905.0,312.0,1516.0,77.0,2.0
CALIFORNIA,JURUPA VALLEY,2019,107605,152.0,4.0,3.0,43.0,102.0,1238.0,206.0,662.0,370.0,2.0
CALIFORNIA,CORONA,2018,170041,127.0,4.0,27.0,49.0,47.0,1535.0,191.0,1082.0,262.0,10.0
CALIFORNIA,LANCASTER,2019,160818,703.0,6.0,43.0,192.0,462.0,1607.0,358.0,952.0,297.0,25.0
CALIFORNIA,INGLEWOOD,2018,110726,349.0,7.0,27.0,156.0,159.0,1382.0,221.0,822.0,339.0,7.0
CALIFORNIA,LOS ANGELES,2018,4029741,14709.0,132.0,1324.0,5139.0,8114.0,50093.0,7869.0,33364.0,8860.0,897.0
CALIFORNIA,FAIRFIELD,2018,117883,335.0,2.0,53.0,89.0,191.0,1639.0,211.0,1121.0,307.0,11.0
CALIFORNIA,LOS ANGELES,2019,4029741,14236.0,127.0,1097.0,4779.0,8233.0,48049.0,7145.0,33158.0,7746.0,735.0
CALIFORNIA,MODESTO,2019,215822,890.0,8.0,40.0,216.0,626.0,3752.0,643.0,2504.0,605.0,33.0
CALIFORNIA,MORENO VALLEY,2018,209145,396.0,7.0,17.0,141.0,231.0,2933.0,591.0,1828.0,514.0,5.0
CALIFORNIA,MORENO VALLEY,2019,209145,390.0,4.0,10.0,137.0,239.0,2728.0,439.0,1749.0,540.0,3.0
CALIFORNIA,LONG BEACH,2019,470445,1164.0,13.0,122.0,455.0,574.0,5628.0,1117.0,3434.0,1077.0,86.0
CALIFORNIA,HUNTINGTON BEACH,2019,203428,169.0,0.0,29.0,44.0,96.0,2025.0,290.0,1577.0,158.0,10.0
CALIFORNIA,IRVINE,2018,288052,82.0,0.0,22.0,22.0,38.0,1670.0,276.0,1307.0,87.0,2.0
CALIFORNIA,MODESTO,2018,215822,963.0,8.0,47.0,204.0,704.0,3965.0,564.0,2819.0,582.0,26.0
CALIFORNIA,CONCORD,2019,130855,237.0,1.0,34.0,102.0,100.0,2255.0,211.0,1744.0,300.0,11.0
CALIFORNIA,LONG BEACH,2018,470445,1702.0,11.0,107.0,527.0,1057.0,5936.0,1077.0,3688.0,1171.0,57.0
CALIFORNIA,SANTA CLARITA,2019,216589,114.0,0.0,22.0,42.0,50.0,1001.0,213.0,682.0,106.0,4.0
CALIFORNIA,OAKLAND,2018,430230,2675.0,32.0,214.0,1220.0,1209.0,10677.0,1160.0,7021.0,2496.0,106.0
CALIFORNIA,OAKLAND,2019,430230,2700.0,40.0,192.0,1337.0,1131.0,12053.0,1217.0,8324.0,2512.0,84.0
CALIFORNIA,OCEANSIDE,2018,177464,309.0,3.0,33.0,72.0,201.0,1845.0,258.0,1346.0,241.0,12.0
CALIFORNIA,OCEANSIDE,2019,177464,319.0,2.0,43.0,78.0,196.0,1810.0,191.0,1405.0,214.0,10.0
CALIFORNIA,ONTARIO,2018,177542,314.0,5.0,57.0,109.0,143.0,2344.0,346.0,1487.0,511.0,17.0
CALIFORNIA,ONTARIO,2019,177542,329.0,4.0,54.0,109.0,162.0,2070.0,354.0,1248.0,468.0,16.0
CALIFORNIA,POMONA,2018,153496,442.0,8.0,44.0,180.0,210.0,2370.0,413.0,1429.0,528.0,17.0
CALIFORNIA,POMONA,2019,153496,450.0,8.0,48.0,154.0,240.0,2107.0,408.0,1245.0,454.0,7.0
